ID,TITLE,ACTIVE,URL_web,URL_facebook,URL_twitter,URL_youtube,URL_instagram,URL_telegram,URL_tiktok,URL_linkedin,DATE_START_year_offline,DATE_START_year_digital,DATE_START_day_digital,DATE_END_year_digital,DATE_END_day_digital,LOCATION_country,LOCATION_company_address,LOCATION_company_zipcode,LOCATION_town,REACH,NATIVE,PUBLISHER_media_group,PUBLISHER_company_name,PODCAST_offered,PODCAST_native,TOPIC_general_information,TOPIC_special_topic,TOPIC_special_topic_description,OWNERSHIP,DNR,ID_original,lat,lng,REVENUE_specify_other,LANGUAGE_specify_other,createdAt,updatedAt,publishedAt,platforms,languages,revenues,province,region,,,,,,,,,,,,
121,Ahora Empresas,false,http://www.ahoraempresas.com/,https://www.facebook.com/ahoraempresas,https://twitter.com/AhoraEmpresas,,,,,,,,,,,ES,,,Madrid,local,true,,,,,,,,private,false,ES_98,40.4167754,-3.7037902,,,2022-09-06T09:16:32.732Z,2023-01-27T11:11:51.024Z,2022-09-06T09:22:58.469Z,web,spanish,,Madrid,Madrid, Comunidad de,,,,,,,,,,,
122,Ahora Granada,true,http://www.ahoragranada.com,https://www.facebook.com/ahoragranada,https://twitter.com/AhoraGranada,https://www.youtube.com/channel/UCSM8tlim-MGSJEHS2oeE82Q,https://instagram.com/ahoragranada,,,,,2014,,,,ES,"Calle Cruz, 19 – Esquina con Verónica de la Magdalena – Bajo - ErranT Espacio Cowork - 18002 Granada",18002,Granada,local,true,,,false,false,true,General,,private,false,ES_99,37.173125,-3.602579,,,2022-09-06T09:16:56.296Z,2023-01-27T11:10:40.532Z,2022-09-06T09:22:58.469Z,web,spanish,"ecommerce, advertising, branded_content",Granada,Andalucía,,,,,,,,,,,,
123,Ahora Información,true,http://www.ahorainformacion.es/,https://www.facebook.com/AhoraInformacion,https://twitter.com/ahorainformac,https://www.youtube.com/channel/UC7kXvWQ0FmRyNnAWUypJIYg/,,http://t.me/ahorainformacion,,,,2012,,,,ES," Zurbano, 71 – of.3 – 28010 Madrid",28010,Madrid,national,false,,Comunión Tradicionalista Carlista,true,true,true,General,,private,false,ES_100,40.4371483,-3.6930797,,,2022-09-06T09:16:40.061Z,2023-01-27T11:11:51.046Z,2022-09-06T09:22:58.469Z,web,spanish,"advertising, suscription_membership_payment, donations",Madrid,Madrid, Comunidad de,,,,,,,,,,,
124,Ahora León,true,http://ahoraleon.com/,https://www.facebook.com/ahoraleondigital,https://twitter.com/ahora_leon,,https://www.instagram.com/ahoraleondigital/,,,,,2016,2016-01-01,,,ES,"Av. República Argentina, 1, 24004 León (España)",24004,León,local,true,,,false,false,true,General,,private,false,ES_101,42.5943111,-5.5724349,,,2022-09-06T09:11:08.774Z,2023-01-27T11:11:04.797Z,2022-09-06T09:22:58.469Z,web,spanish,advertising,León,Castilla y León,,,,,,,,,,,,
125,Ahora Qué Leo,true,https://www.lasexta.com/ahoraqueleo/,https://www.facebook.com/ahoraqueleo/,https://twitter.com/ahoraqueleo_es/,,https://www.instagram.com/ahoraqueleo_es/,,,,,2019,2019-11-28,,,ES,"Avenida Isla Graciosa 13, 28703, San Sebastián de los Reyes, Madrid",28703,San Sebastián de los Reyes,national,true,Atresmedia,"Atresmedia Corporación de Medios de Comunicación, S.A.",false,false,false,Cultura (literatura, cine, música, arte),libros,private,false,ES_102,40.5573101,-3.6157183,"en este espacio no hay presencia comercial, pero sí en la web que lo aloja.",,2022-09-06T09:16:54.258Z,2023-01-27T11:11:51.068Z,2022-09-06T09:22:58.469Z,"app, web",spanish,,Madrid,Madrid, Comunidad de,,,,,,,,
126,Ahora Zona Media,false,http://www.ahorazonamedia.com/,https://www.facebook.com/ahorazonamediaAZM,https://twitter.com/ahorazonamedia,,,,,,,,,,,ES,"Avenida Pamplona, nº 6, 4º Izq Tafalla (Navarra) - 31300 Tafalla",31300,Zona Media,local,true,,AHORA ZONA MEDIA,,,,,,,false,ES_103,42.5327962,-1.6715451,,,2022-09-06T09:21:37.935Z,2023-01-27T11:12:11.706Z,2022-09-06T09:22:58.469Z,web,spanish,,Navarra,Navarra, Comunidad Foral de,,,,,,,,,,,
127,Ahotsa,true,http://ahotsa.info,https://www.facebook.com/AhotsaInfo,https://twitter.com/AhotsaInfo,https://www.youtube.com/channel/UCo1TrbaH7XsXzKdK9U_v5GA,,,,,,2014,,,,ES,,,Pamplona,local,true,,,false,false,true,General,,private,false,ES_104,42.812526,-1.6457745,,,2022-09-06T09:21:38.848Z,2023-01-27T11:12:11.726Z,2022-09-06T09:22:58.469Z,web,"basque, spanish","advertising, suscription_membership_payment",Navarra,Navarra, Comunidad Foral de,,,,,,,,,,,
128,Aiaraldea Gaur,true,http://www.aiaraldea.eus/,https://www.facebook.com/aiaraldea,https://twitter.com/aiaraldea,https://www.youtube.com/channel/UCUQgCbhwL6qpjOQDA1z-_Og,https://www.instagram.com/aiaraldea.eus,,,,,2010,2010-04-17,,,ES,"Nerbioi kalea 1, 3 esk. - Llodio, Álava, 01400",1400,Vitoria-Gasteiz,local,true,,Info-Aiaraldea Kultura eta Komunikazio Elkarteak,true,true,true,General,,private,false,ES_105,43.1416214,-2.96269,,,2022-09-06T09:17:02.174Z,2023-01-27T11:12:17.311Z,2022-09-06T09:22:58.469Z,"web, app, print",basque,"suscription_membership_payment, advertising, public_or_private_subsidies",Araba/Álava,País Vasco,,,,,,,,,,,,
129,Aikor!,true,https://aikor.eus/,https://www.facebook.com/aikoraldizkaria,https://twitter.com/aikortxorierri,https://www.youtube.com/channel/UC6uW2-QjgGnAyZbAt7ab-IQ,https://www.instagram.com/aikor.aldizkaria/,,,,,2010,2010-04-17,,,ES,"Aresti, 2 - bajo - 48170 Zamudio - Bizkaia",48170,"Derio, Erandio, Larrabetzu, Lezama, Loiu, Sondika, Zamudio",local,false,,"TOTOAN, Txorierriko Euskara Elkarteen Federazioa",false,false,true,General,,,false,ES_106,43.28333,-2.8647633,,,2022-09-06T09:17:06.171Z,2023-01-27T11:12:17.726Z,2022-09-06T09:22:58.469Z,"web, print",basque,"public_or_private_subsidies, advertising, suscription_membership_payment",Bizkaia,País Vasco,,,,,,,,,,,,
130,AionSur,true,https://aionsur.com/,https://www.facebook.com/aionsur,https://twitter.com/Arahal_Informa,https://www.youtube.com/channel/UCP279nC74j5m2xQ0Dzs-r5Q,https://www.instagram.com/aion.sur/,https://t.me/aionsur,,,,2017,,,,ES,,,,local,true,,,false,false,true,General,,unknown,false,ES_107,,,,,2022-09-06T09:22:40.237Z,2023-01-27T11:10:44.912Z,2022-09-06T09:22:58.469Z,web,spanish,advertising,Sevilla,Andalucía,,,,,,,,,,,,
131,Aiurri,true,http://aiurri.eus/,https://www.facebook.com/aiurri.hedabideak,https://twitter.com/Aiurri,https://www.youtube.com/user/Aiurri,https://www.instagram.com/aiurriklik,https://t.me/aiurri,,,,2014,,,,ES,"Arantzibia cuadrado, abajo 4-5 - 20140 Andoain (Gipuzkoa)",20140,Aduna,local,false,,,false,false,true,General,,,false,ES_108,43.2216062,-2.0160031,,,2022-09-06T09:21:33.006Z,2023-01-27T11:12:19.148Z,2022-09-06T09:22:58.469Z,"print, web",basque,"advertising, public_or_private_subsidies, suscription_membership_payment",Gipuzkoa,País Vasco,,,,,,,,,,,,
132,Aixoes Mallorca,false,http://aixoesmallorca.com/,,https://twitter.com/aixoesmallorca,,,,,,,,,,,ES,,,Mallorca,local,true,,Associació de Joves Periodistes,,,,,,,false,ES_109,39.6952629,3.0175712,,,2022-09-06T09:22:37.801Z,2023-01-27T11:10:51.873Z,2022-09-06T09:22:58.469Z,web,"spanish, catalan",,Illes Balears,Balears, Illes,,,,,,,,,,,
133,Aizu!,true,http://aizu.eus,,https://twitter.com/AIZUaldizkaria,https://www.youtube.com/user/AIZUaldizkaria,,,,,,2014,,,,ES,Iztueta 3,Donostia,Gipuzkoa,20001,20001,,local,false,,,false,false,true,General,,,false,ES_110,43.3212492,-1.9756528,,,2022-09-06T09:21:34.273Z,2023-01-27T11:12:19.169Z,2022-09-06T09:22:58.469Z,"web, print",basque,"advertising, suscription_membership_payment",Gipuzkoa,País Vasco,,,,,,,,,
134,Aki Zaragoza,true,http://akizaragoza.com/,https://www.facebook.com/aki.zaragoza,https://twitter.com/akizgz,,https://www.instagram.com/akizgz/,,,,,2004,,,,ES,"Cádiz 3, 4º dcha. 50.004 Zaragoza",50004,Zaragoza,local,false,,"Impacto Cultural en Aragón, SL",false,false,false,Ocio y entretenimiento,Hostelería y comercio,private,false,ES_111,36.5210142,-6.2804565,,,2022-09-06T09:11:00.765Z,2023-01-27T11:10:47.714Z,2022-09-06T09:22:58.469Z,"print, app, web",spanish,advertising,Zaragoza,Aragón,,,,,,,,,,,,
135,Alacant Extra,true,https://alacantextra.com/,https://www.facebook.com/alacantextra/,https://twitter.com/vlcextra,,https://www.instagram.com/valencia_extra/,,,,,2017,,,,ES,"Gaspar Torrella, 1, pta. 19 - Valencia - 46017",46017,Alicante,local,true,,"VALENCIA EXTRA, SL",false,false,true,General,,private,false,ES_114,39.4536311,-0.3928259,,,2022-09-06T09:21:52.638Z,2023-01-27T11:11:24.760Z,2022-09-06T09:22:58.469Z,web,"valencian, spanish","public_or_private_subsidies, advertising",Alicante/Alacant,Comunitat Valenciana,,,,,,,,,,,,
136,Alacantí TV,true,http://www.alacantitv.com/,https://www.facebook.com/alacantitv,https://twitter.com/AlacantiTv,https://www.youtube.com/channel/UCDsRCNpkfNY6E2Wjrtibx_Q,https://www.instagram.com/alacantitv/,,,,,2010,2010-10-01,,,ES,Francisco Candela Martí Nº1 bajo - 03006 Alicante,3006,Alicante,local,false,,Arte Quatre Víctor S.L.,false,false,true,General,,public,false,ES_115,38.3441275,-0.4974613,,,2022-09-06T09:21:50.073Z,2023-01-27T11:11:24.780Z,2022-09-06T09:22:58.469Z,"tv, web",spanish,,Alicante/Alacant,Comunitat Valenciana,,,,,,,,,,,,
137,Albacete Abierto,true,http://www.albaceteabierto.es,https://www.facebook.com/albacete.abierto,https://twitter.com/albaceteabierto,http://www.youtube.com/channel/UCeSpjy698eQjIzXAjgbtjgQ,,,,,,2014,,,,ES,"Doctor Ferrán, 33 , 02004 ALBACETE",2004,Albacete,local,true,,,false,false,true,General,,private,false,ES_116,38.995188,-1.8639384,,,2022-09-06T09:21:35.354Z,2023-01-27T11:11:00.723Z,2022-09-06T09:22:58.469Z,web,spanish,advertising,Albacete,Castilla - La Mancha,,,,,,,,,,,,
138,Albacete Capital,true,http://www.albacetecapital.com,https://www.facebook.com/albacetecapital.diario,https://twitter.com/AlbaceteCapital,,https://www.instagram.com/albacetecapitalyprovincia/,,,,,2013,,,,ES,"Santa Fe, 14, 2º, 45001 TOLEDO",45001,Albacete,local,true,,"Palabras Clave, S.L.",false,false,true,General,,private,false,ES_117,39.85991612,-4.019986641,,,2022-09-06T09:11:21.260Z,2023-01-27T11:11:00.741Z,2022-09-06T09:22:58.469Z,web,spanish,"advertising, suscription_membership_payment",Albacete,Castilla - La Mancha,,,,,,,,,,,,
139,Albacete Cuenta,false,http://albacetecuenta.com,https://www.facebook.com/albacetecuentacom-199775963503255,https://twitter.com/albacetecuenta,,,,,,,2013,2013-06-12,2019,2019-05-29,ES,,2001,Albacete,local,true,,Ana Cuevas y José Agustín Charco,,,,,,private,false,ES_118,39.0019158,-1.8391485,,,2022-09-06T09:21:36.002Z,2023-01-27T11:11:00.761Z,2022-09-06T09:22:58.469Z,web,spanish,,Albacete,Castilla - La Mancha,,,,,,,,,,,,
140,Albacete Diario,true,http://www.albacetediario.es/,https://www.facebook.com/albacetediario,https://twitter.com/AlbaceteDiario,,,,,,,2004,,,,ES,Caba 11 Bajo  02001  - Albacete,2001,Albacete,local,true,,Albacete Diario SL,false,false,true,General,,private,false,ES_119,38.9931031,-1.8581658,,,2022-09-06T09:21:35.690Z,2023-01-27T11:11:00.782Z,2022-09-06T09:22:58.469Z,web,spanish,advertising,Albacete,Castilla - La Mancha,,,,,,,,,,,,
141,Albiazules.es,true,http://www.albiazules.es/,https://www.facebook.com/albiazules.es,https://twitter.com/Albiazules,https://www.youtube.com/channel/UCcgGSt7J9NojEwO3bIFtcGw,https://www.instagram.com/albiazules.es/,,,,,2009,2009-07-09,,,ES,"AV DECANO DEL FUTBOL ESPAÑOL, S/N - 21001 - HUELVA",21001,Huelva,local,true,,Manuel López,true,true,false,Deportes,Fútbol: Recreativo de Huelva,private,false,ES_120,37.2505632,-6.9571973,,,2022-09-06T09:10:57.922Z,2023-01-27T11:10:41.449Z,2022-09-06T09:22:58.469Z,web,spanish,advertising,Huelva,Andalucía,,,,,,,,,,,,
142,Albolote Información,true,http://www.alboloteinformacion.com/,https://www.facebook.com/alboloteinformacion,https://twitter.com/alboloteinforma,https://www.youtube.com/user/wwwalbolotetv,https://www.instagram.com/alboloteinformacion/,,,,,2010,,,,ES,,18220,Albolote,local,false,,,true,false,true,General,,private,false,ES_121,37.2283225,-3.6543577,,,2022-09-06T09:16:50.897Z,2023-01-27T11:10:40.555Z,2022-09-06T09:22:58.469Z,"tv, print, radio, web, app",spanish,advertising,Granada,Andalucía,,,,,,,,,,,,
143,Al Cabo de la Calle,true,http://www.alcabodelacalle.com/,https://www.facebook.com/periodicoalcabodelacalle,https://twitter.com/alcabodelacalle,,,,,,,2009,,,,ES,Calle Terradas 20 Getafe (Madrid),28904,"Getafe, Leganés, Alcorcón, Pinto, Humanes, Arroyomolinos, Moraleja, Griñón, Serranillos del Valle, Fuenlabrada, Valdemoro",local,false,,,false,false,true,General,,private,false,ES_112,40.31539,-3.73584,,,2022-09-06T09:16:25.475Z,2023-01-27T11:11:51.085Z,2022-09-06T09:22:58.469Z,"web, print",spanish,advertising,Madrid,Madrid, Comunidad de,,,,,,,,,,,
144,Alcalá Digital,false,http://www.alcaladigital.com/,https://www.facebook.com/alcaladigital.alcaladigital,https://twitter.com/alcaladigital1,,,,,,,,,2018,2018-02-23,ES,"Plaza de San Francisco de Asís, 28802,  Alcalá de Henares",28802,Alcalá de Henares,local,true,,E-Venture Alcalá  S.L,,,,,,unknown,false,ES_122,40.4759392,-3.3773941,,,2022-09-06T09:16:59.371Z,2023-01-27T11:11:51.106Z,2022-09-06T09:22:58.469Z,web,spanish,,Madrid,Madrid, Comunidad de,,,,,,,,,,,
145,Alcalá Hoy,true,https://www.alcalahoy.es/,https://www.facebook.com/Alcala15Hoy,https://twitter.com/AlcalaHoy1,https://www.youtube.com/channel/UCPz2x7ZQsUltnka2KkQMb-g,,https://t.me/alcalahoy,,,,2013,,,,ES,,28801,Alcalá de Henares,local,false,,,false,false,true,General,,private,false,ES_123,40.4816426,-3.366604,,,2022-09-06T09:16:59.579Z,2023-01-27T11:11:51.129Z,2022-09-06T09:22:58.469Z,web,spanish,advertising,Madrid,Madrid, Comunidad de,,,,,,,,,,,
146,Alcalá Noticias,true,http://www.alcalanoticias.es/,https://www.facebook.com/alcalanoticias.es,https://twitter.com/AlcalaNoticias,,,,,,,2010,2010-10-05,,,ES,"Carlos V - 1 - 3ºE, 23680 Alcalá la Real - Jaén",23680,Alcalá la Real,local,true,,"Asociación Cultural ""La Guía de Alcalá""",false,false,true,General,,private,false,ES_124,37.4532158,-3.921491,,,2022-09-06T09:11:23.066Z,2023-01-27T11:10:42.104Z,2022-09-06T09:22:58.469Z,"tv, web",spanish,advertising,Jaén,Andalucía,,,,,,,,,,,,
147,Alcaldes,true,http://alcaldes.eu/,https://www.facebook.com/alcaldes.eu,https://twitter.com/alcaldeseu,https://www.youtube.com/channel/UCV8JQH7Oo1TqUb67Qw-JTGA,,,,,,2009,2009-03-30,,,ES,"Passeig de Gràcia, 18 · 08007 Barcelona",8007,Barcelona,local,true,,"Presston Comunicació Internacional, SL",false,false,false,Política,Gobierno municipal en Cataluña,private,false,ES_125,41.3900117,2.1683744,,,2022-09-06T09:22:21.507Z,2023-01-27T11:11:08.083Z,2022-09-06T09:22:58.469Z,web,"catalan, spanish","advertising, public_or_private_subsidies",Barcelona,Cataluña,,,,,,,,,,,,
148,Alcazardesanjuan.com,true,https://alcazardesanjuan.com/,https://www.facebook.com/alcazardesanjuancom/,https://twitter.com/alcazar_sanjuan,,https://www.instagram.com/alcazar_sanjuan/,,,,,2015,,,,ES,"Andrés Pastor, 17, 13600 Alcázar de San Juan, Ciudad Real",13600,Alcázar de San Juan,local,true,,,false,false,true,General,,private,false,ES_127,39.3969247,-3.2138886,,,2022-09-06T09:17:00.051Z,2023-01-27T11:11:01.511Z,2022-09-06T09:22:58.469Z,"app, web",spanish,"branded_content, advertising",Ciudad Real,Castilla - La Mancha,,,,,,,,,,,,
149,Alcázar Media,false,https://alcazarmedia.es/,https://www.facebook.com/alcazarmedia/,https://twitter.com/Alcazar_Media,,,,,,,,,,,ES,"Pascuala, 3, 13600 Alcázar de San Juan, Ciudad Real",13600,Alcázar de San Juan,local,true,,Carlos Javier Velasco Farrera,,,,,,private,false,ES_126,39.3887174,-3.2048925,,,2022-09-06T09:17:00.164Z,2023-01-27T11:11:01.489Z,2022-09-06T09:22:58.469Z,web,spanish,,Ciudad Real,Castilla - La Mancha,,,,,,,,,,,,
150,Alcobendas Ciudad Aumentada,true,http://www.alcobendasaumentada.com/,https://www.facebook.com/alcobendasaumentada,https://twitter.com/Alcobendas_CA,,,,,,,2016,2016-06-03,,,ES,,,Alcobendas,local,true,,Ciudad Aumentada,false,false,true,General,,private,false,ES_128,40.5371361,-3.6370715,,,2022-09-06T09:16:52.046Z,2023-01-27T11:11:51.149Z,2022-09-06T09:22:58.469Z,web,spanish,"public_or_private_subsidies, advertising, consultancy_events_and_other",Madrid,Madrid, Comunidad de,,,,,,,,,,,
151,Alcorcón Ciudad Aumentada,true,http://www.alcorconaumentado.com/,https://www.facebook.com/AlcorconAumentada,https://twitter.com/Alcorcon_CA,,,,,,,2015,2015-04-15,,,ES,,,Alcorcón,local,true,,,false,false,true,General,,private,false,ES_129,40.3468454,-3.8278443,,,2022-09-06T09:16:21.365Z,2023-01-27T11:11:51.169Z,2022-09-06T09:22:58.469Z,web,spanish,"public_or_private_subsidies, consultancy_events_and_other, advertising",Madrid,Madrid, Comunidad de,,,,,,,,,,,
152,Alcorcón Info,false,http://www.alcorcon.info/,https://www.facebook.com/AyuntamientoAlcorcon,https://twitter.com/AytoAlcorcon,,,,,,,,,,,ES,"Avda. M40, 11, 28925 Alcorcón, Madrid",28925,Alcorcón,local,true,,Diario Digital de Alcorcón,,,,,,unknown,false,ES_130,40.3930351,-3.833752,,,2022-09-06T09:16:21.228Z,2023-01-27T11:11:51.191Z,2022-09-06T09:22:58.469Z,web,spanish,,Madrid,Madrid, Comunidad de,,,,,,,,,,,
153,Alcoyinforma,true,https://alcoyinforma.es/,https://www.facebook.com/Alcoy-Informa-251233555015813,https://twitter.com/AlcoyInforma,https://www.youtube.com/channel/UCTt3vbfS5ofKbPPPpM3ANpw,,,,,,2013,2013-11-07,,,ES,,3803,Alcoy,local,true,,,false,false,true,General,,private,false,ES_131,38.701789,-0.4809098,,,2022-09-06T09:21:50.785Z,2023-01-27T11:11:24.806Z,2022-09-06T09:22:58.469Z,web,spanish,advertising,Alicante/Alacant,Comunitat Valenciana,,,,,,,,,,,,
154,Aldaba Guernika Lumo,false,http://www.gernikaldaba.com/,,,,,,,,,,,,,ES,"Artekale, 8 - 3º  - 48300 Gernika-Lumo Bizkaia",48300,Gernika-Lumo,local,false,,Aldaba. Gernika-Lumoko Aldizkaria,,,,,,private,false,ES_132,43.3153741,-2.6780823,,,2022-09-06T09:17:06.845Z,2023-01-27T11:12:17.746Z,2022-09-06T09:22:58.469Z,web,"basque, spanish",,Bizkaia,País Vasco,,,,,,,,,,,,
155,Aldia.cat,true,http://www.aldia.cat/,https://www.facebook.com/aldiacat.ep,https://twitter.com/AlDiaCat,,,,,,,2006,2006-01-01,,,ES,"Paseo de la Castellana, 210 - Madrid",28046,Barcelona,local,true,Europa Press,Europa Press Noticias S.A.,false,false,true,General,,private,false,ES_133,40.4632631,-3.6889552,,,2022-09-06T09:16:43.177Z,2023-01-27T11:11:08.106Z,2022-09-06T09:22:58.469Z,web,catalan,"advertising, public_or_private_subsidies",Barcelona,Cataluña,,,,,,,,,,,,
156,Alea.eus,true,http://alea.eus/,https://www.facebook.com/Arabako-Alea-1378003882487034,https://twitter.com/arabakoalea,https://www.youtube.com/channel/UCXnkpL9qvjBwhwOmJBL2aPw/featured,https://www.instagram.com/arabakoalea/,,,,,2014,,,,ES,"Eskola kalea, 10, 13.bulegoa, 01001, Vitoria- Gasteiz, Araba",1001,Vitoria-Gasteiz,local,false,,Arabako ALEA Komunikazio taldea,true,true,true,General,,private,false,ES_134,42.848969,-2.6717947,,,2022-09-06T09:17:07.181Z,2023-01-27T11:12:17.333Z,2022-09-06T09:22:58.469Z,"web, print, radio",basque,"suscription_membership_payment, branded_content, public_or_private_subsidies, advertising",Araba/Álava,País Vasco,,,,,,,,,,,,
157,Alegría de Monzón y Cinca Medio,true,http://alegriademonzon.com/,https://www.facebook.com/Alegr%C3%ADa-de-Monz%C3%B3n-200342160377783/,https://twitter.com/alegriademonzon,,,,,,,2016,2016-10-01,,,ES,Apartado de Correos: 50 - 22400 | Monzón - Huesca,22400,Monzón,local,true,,Alegría de Monzón y Cinca Medio S.L.,false,false,true,General,,private,false,ES_135,41.9107414,0.1961784,,,2022-09-06T09:21:58.774Z,2023-01-27T11:10:46.881Z,2022-09-06T09:22:58.469Z,"web, print",spanish,advertising,Huesca,Aragón,,,,,,,,,,,,
158,Além-Mar,true,http://www.alem-mar.org,https://www.facebook.com/revista.alemmar/,,,https://www.instagram.com/revista.alemmar,,,,1972,2020,,,,PT,"Calçada Eng. Miguel Pais, 9",1249-120,Lisboa,national,false,Missionários Combonianos do Coração de Jesus,,true,false,false,Religión y espiritualidad,Religião/missão combodiana,private,false,PT_42,38.7167751,-9.1518413,,,2022-09-06T08:54:15.121Z,2023-01-27T11:11:39.905Z,2022-09-06T09:22:58.469Z,"print, web",portuguese,"suscription_membership_payment, donations, public_or_private_subsidies",Lisboa,Lisboa,,,,,,,,,,,,
159,Alentejo Atual,true,https://http://www.oatual.pt/noticias/alentejo,https://www.facebook.com/oatual.pt,https://twitter.com/oatual2,,,,,,2021,2021,,,,PT,"Av. Comandante Ramiro Correia, 53, 2º T Esq.",7800-261,Beja,local,true,"Harmony Rhythms – Unipessoal, Lda",,false,false,true,General,,private,false,PT_43,38.0194879,-7.8719159,,,2022-09-06T09:10:49.230Z,2023-01-27T11:10:53.679Z,2022-09-06T09:22:58.469Z,web,portuguese,advertising,Beja,Beja,,,,,,,,,,,,
160,Alentejohoje.com,true,http://http://www.alentejohoje.com/,http://www.alentejohoje.com/politica-editorial/#,,,,,,,,2015,,,,PT,"TV. STO. ANDRÉ, N.º 6",7000-587,Évora,local,true,"PROPRIEDADE: PIÇARRA – MULTIMÉDIA E GESTÃO DE CONTEÚDOS, LDA",,false,false,true,General,,private,false,PT_44,38.571431,-7.913502,,,2022-09-06T08:54:44.156Z,2023-01-27T11:11:30.206Z,2022-09-06T09:22:58.469Z,web,portuguese,advertising,Évora,Évora,,,,,,,,,,,,
161,Alerta,true,http://www.eldiarioalerta.com/,https://www.facebook.com/alertaeldiario,https://twitter.com/ALERTAeldiario,https://www.youtube.com/channel/UChBtW5wwNHdxh6oX-Bt1odA,https://www.instagram.com/alertaeldiario/,,,,,2002,,,,ES,"Av. Primero de Mayo, nº 13 - 39011 Santander",39011,Santander,local,false,,"CANPRE, S.A.",false,false,true,General,,private,false,ES_136,43.4427283,-3.8573659,,,2022-09-06T09:16:20.774Z,2023-01-27T11:10:58.961Z,2022-09-06T09:22:58.469Z,"app, web, print",spanish,"suscription_membership_payment, advertising",Cantabria,Cantabria,,,,,,,,,,,,
162,Alerta Digital,true,http://www.alertadigital.com/,https://www.facebook.com/AlertaDigital.AD/,https://www.twitter.com/digital_alerta,,,,,,,2005,,,,ES,"Plaza de Toros Vieja, 1, 5º- 1 - 29005 Málaga",29005,Málaga,national,true,,ALERTA DIGITAL SL,false,false,false,Política,ideología derechas-opinión-acusado de noticias falsas,private,false,ES_137,36.7119093,-4.4268542,,,2022-09-06T09:11:18.187Z,2023-01-27T11:10:42.920Z,2022-09-06T09:22:58.469Z,web,spanish,"advertising, donations",Málaga,Andalucía,,,,,,,,,,,,
163,Alfa Beta Juega,true,http://www.alfabetajuega.com/,https://www.facebook.com/alfabetajuega,https://twitter.com/alfabetajuega,https://www.youtube.com/urbantecno,https://www.instagram.com/alfabetajuega/,,,,,2011,2011-09-02,,,ES,"Calle Torres Quevedo, 22, 15008 A Coruña",15008,A Coruña,national,true,Difoosion,"Difoosion, S.L.",false,false,false,Ocio y entretenimiento,Videojuegos,private,false,ES_138,43.3536789,-8.4259404,,,2022-09-06T08:54:36.913Z,2023-01-27T11:11:33.135Z,2022-09-06T09:22:58.469Z,web,spanish,"ecommerce, advertising",A Coruña,Galicia,,,,,,,,,,,,
164,Alfa y Omega,true,http://www.alfayomega.es/,https://www.facebook.com/alfayomegasemanario,https://twitter.com/alfayomegasem,https://www.youtube.com/channel/UCf7UGfPtFPBQH25ZBw4Riyw,https://www.instagram.com/alfayomegasem/,,,,,2001,,,,ES,"Calle de la Pasa, 3. 28005 Madrid",28005,Madrid,national,false,,Arzobispado de Madrid,false,false,false,Religión y espiritualidad,Información católica,private,false,ES_139,40.4144652,-3.7091335,,,2022-09-06T09:16:28.888Z,2023-01-27T11:11:51.213Z,2022-09-06T09:22:58.469Z,"print, web",spanish,"advertising, donations",Madrid,Madrid, Comunidad de,,,,,,,,,,,
165,Algarve Express.pt,true,http://http://www.algarveexpress.pt/,https://www.facebook.com/algarveexpress,https://twitter.com/algarveexpress,https://www.youtube.com/user/Algarveexpress,,,,,2012,2012,,,,PT,"R. Vicente Dias, Bl. A 9 - R/C Esq.",8600-762,Lagos,local,true,Nuno Miguel Pico Rodrigues,,false,false,true,General,,private,false,PT_45,37.1039979,-8.6826038,,,2022-09-06T08:54:27.624Z,2023-01-27T11:12:17.125Z,2022-09-06T09:22:58.469Z,web,portuguese,advertising,PT Unknown,,,,,,,,,,,,,
166,Algeciras al minuto,true,http://www.algecirasalminuto.es/,https://www.facebook.com/algecirasminuto.es,https://twitter.com/minutoes,https://www.youtube.com/channel/UCmTtcXFO8inBLtLFEBKbo3w,https://www.instagram.com/algeciras_al_minuto/,,,,,2011,2011-04-24,,,ES,"PL. ALTA, 7 2ª PLANTA, Algeciras",11201,Algeciras,local,true,,ALGECIRAS AL MINUTO SL,false,false,true,General,,private,false,ES_140,36.1313003,-5.4467416,,,2022-09-06T09:11:09.453Z,2023-01-27T11:10:37.899Z,2022-09-06T09:22:58.469Z,"radio, app, web",spanish,"advertising, branded_content",Cádiz,Andalucía,,,,,,,,,,,,
167,Alhamilla Radio Mar,false,http://www.alhamillaradiomar.com/radio-on-line/,https://www.facebook.com/AlhamillaRadioMar,https://twitter.com/Alhamillaradio,,,,,,,,,,,ES,,4005,Almería,local,false,,,,,,,,private,false,ES_141,36.834047,-2.4637136,,,2022-09-06T09:17:08.843Z,2023-01-27T11:10:37.001Z,2022-09-06T09:22:58.469Z,web,spanish,,Almería,Andalucía,,,,,,,,,,,,
168,Alhaurin.com,true,http://www.alhaurin.com/,https://www.facebook.com/Diarioalhaurin,https://twitter.com/aDiarioAlhaurin,https://www.youtube.com/channel/UC33M3VSYNeKN_247pbZGUQg/,,,,,,1998,,,,ES,,,Alhaurín de la Torre,local,true,,Andalucía Comunidad Cultural S.L.,false,false,true,General,,private,false,ES_142,36.6598945,-4.5598636,,,2022-09-06T09:11:16.128Z,2023-01-27T11:10:42.946Z,2022-09-06T09:22:58.469Z,"web, app",spanish,advertising,Málaga,Andalucía,,,,,,,,,,,,
